"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2023-01-01","2023","01","01","","3.9","","1.9","","2.9","","15.1","","0.0","","0.6","","0.0","T","0.6","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-02","2023","01","02","","4.8","","-1.2","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-03","2023","01","03","","3.1","","0.2","","1.7","","16.3","","0.0","","4.8","","0.0","","4.8","","","","5","","51",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-04","2023","01","04","","3.0","","2.1","","2.6","","15.4","","0.0","","16.6","","0.0","","16.6","","","","5","","60",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-05","2023","01","05","","3.6","","1.0","","2.3","","15.7","","0.0","","0.4","","0.0","","0.4","","","","22","","36",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-06","2023","01","06","","2.1","","0.5","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","","","25","","33",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-07","2023","01","07","","2.4","","-5.6","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-08","2023","01","08","","-2.3","","-5.2","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-09","2023","01","09","","2.7","","-3.4","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","","","25","","51",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-10","2023","01","10","","0.8","","-1.9","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","","","7","","32",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-11","2023","01","11","","0.1","","-3.4","","-1.7","","19.7","","0.0","","0.0","T","0.0","","0.0","T","","","7","","37",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-12","2023","01","12","","4.8","","0.0","","2.4","","15.6","","0.0","","3.0","","4.0","","7.0","","4","E","3","","45",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-13","2023","01","13","","0.3","","-7.6","","-3.7","","21.7","","0.0","","0.0","","4.2","","4.2","","6","","36","","51",""
"-79.94","43.17","HAMILTON A","6153193","2023-01-14","2023","01","14","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","8","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-15","2023","01","15","","-3.0","","-15.7","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","6","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2023-01-16","2023","01","16","","0.2","","-8.2","","-4.0","","22.0","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
